"rowname","American Airlines","Alaska Airlines","Jetblue Airways Corporation","Delta Air Lines, Inc.","Frontier Airlines, Inc.","Allegiant Air LLC","Spirit Airlines, Inc.","United Airlines, Inc.","Southwest Airlines","Hawaiian Airlines Inc."
"American Airlines",1,1.33978739554392,0.605167699549761,1.35693585704685,0.694637505186406,0.914501630141632,0.868842989639482,1.39140062503041,0.655699685840151,1.51622585201025
"Alaska Airlines",0.746387078521531,1,0.451689351282542,1.01279939008231,0.518468458127567,0.682572200024591,0.648493180730926,1.03852344756948,0.489405772901716,1.13169138406075
"Jetblue Airways Corporation",1.65243452475073,2.21391094822264,1,2.24224765805642,1.14784299575673,1.51115406658685,1.43570615266792,2.29919843055999,1.08350079875047,2.50546394518132
"Delta Air Lines, Inc.",0.73695451027165,0.987362363951202,0.445981065653915,1,0.511916242450969,0.673946100983652,0.640297759932721,1.02539896621095,0.483220840863603,1.11738948022943
"Frontier Airlines, Inc.",1.43959978050948,1.92875764055439,0.87119928744326,1.95344456197008,1,1.31651634602745,1.25078617718219,2.00306003439453,0.943945123815613,2.18275840375674
"Allegiant Air LLC",1.09349176320782,1.46504648147694,0.661745894817089,1.48379818288207,0.759580390336565,1,0.950072652691631,1.52148512279297,0.717002205604161,1.65798048033597
"Spirit Airlines, Inc.",1.15095594016928,1.54203626146521,0.696521358595377,1.56177338509676,0.799497162858665,1.052551083506,1,1.601440814534,0.754681448384854,1.74510915100943
"United Airlines, Inc.",0.718700266487335,0.96290555821379,0.434934186935941,0.975230162065788,0.499236160089568,0.657252565285893,0.624437688189548,1,0.471251538948978,1.08971192389475
"Southwest Airlines",1.5250884232447,2.0432942465532,0.922934252704966,2.06944716666777,1.05938361751137,1.39469584916741,1.32506238511649,2.12200898532932,1,2.31237849392516
"Hawaiian Airlines Inc.",0.659532350457009,0.883633130095759,0.399127675304715,0.894943095217502,0.458135906511183,0.603143409624077,0.573030059135022,0.917673724653658,0.432455154996077,1
