"year","month","city","state","timezone","origin","name","lat","lng","Average Delay (Min)","Proportion of Cancelled Flights"
2022,4,"Atlanta","GA","America/New_York","ATL","Alaska Airlines Inc.",33.7628,-84.422,12.1891891891892,0.108433734939759
2022,4,"Atlanta","GA","America/New_York","ATL","American Airlines Inc.",33.7628,-84.422,13.7579143389199,0.0271739130434783
2022,4,"Atlanta","GA","America/New_York","ATL","Delta Air Lines Inc.",33.7628,-84.422,13.3314888164026,0.0115154306771073
2022,4,"Atlanta","GA","America/New_York","ATL","Frontier Airlines Inc.",33.7628,-84.422,29.3552311435523,0.0329411764705882
2022,4,"Atlanta","GA","America/New_York","ATL","JetBlue Airways",33.7628,-84.422,44.6762589928058,0.0855263157894737
2022,4,"Atlanta","GA","America/New_York","ATL","Southwest Airlines Co.",33.7628,-84.422,17.0970600080548,0.0127236580516899
2022,4,"Atlanta","GA","America/New_York","ATL","Spirit Air Lines",33.7628,-84.422,24.7180277349769,0.102351313969571
2022,4,"Atlanta","GA","America/New_York","ATL","United Air Lines Inc.",33.7628,-84.422,15.3218390804598,0.00760456273764259
2022,4,"Charlotte","NC","America/New_York","CLT","American Airlines Inc.",35.2083,-80.8303,11.6256562121416,0.0179775280898876
2022,4,"Charlotte","NC","America/New_York","CLT","Delta Air Lines Inc.",35.2083,-80.8303,11.7886977886978,0.00245098039215686
2022,4,"Charlotte","NC","America/New_York","CLT","Frontier Airlines Inc.",35.2083,-80.8303,25.378640776699,0.0373831775700935
2022,4,"Charlotte","NC","America/New_York","CLT","JetBlue Airways",35.2083,-80.8303,11.5,0.127272727272727
2022,4,"Charlotte","NC","America/New_York","CLT","Southwest Airlines Co.",35.2083,-80.8303,13.5572139303483,0
2022,4,"Charlotte","NC","America/New_York","CLT","Spirit Air Lines",35.2083,-80.8303,23.4183673469388,0.0754716981132075
2022,4,"Chicago","IL","America/Chicago","ORD","Alaska Airlines Inc.",41.8375,-87.6866,17.1059322033898,0.0852713178294574
2022,4,"Chicago","IL","America/Chicago","ORD","American Airlines Inc.",41.8375,-87.6866,15.1875168873277,0.0242552069601898
2022,4,"Chicago","IL","America/Chicago","ORD","Delta Air Lines Inc.",41.8375,-87.6866,13.5476493011436,0.010062893081761
2022,4,"Chicago","IL","America/Chicago","ORD","Frontier Airlines Inc.",41.8375,-87.6866,28.4251968503937,0.0305343511450382
2022,4,"Chicago","IL","America/Chicago","ORD","JetBlue Airways",41.8375,-87.6866,17.34375,0.135135135135135
2022,4,"Chicago","IL","America/Chicago","ORD","Southwest Airlines Co.",41.8375,-87.6866,24.0786369593709,0.0304955527318933
2022,4,"Chicago","IL","America/Chicago","ORD","Spirit Air Lines",41.8375,-87.6866,32.5459363957597,0.0766721044045677
2022,4,"Chicago","IL","America/Chicago","ORD","United Air Lines Inc.",41.8375,-87.6866,13.8934841982052,0.0113789778206365
2022,4,"Dallas","TX","America/Chicago","DFW","Alaska Airlines Inc.",32.7935,-96.7667,10.9328358208955,0.049645390070922
2022,4,"Dallas","TX","America/Chicago","DFW","American Airlines Inc.",32.7935,-96.7667,17.8984817998903,0.0163727959697733
2022,4,"Dallas","TX","America/Chicago","DFW","Delta Air Lines Inc.",32.7935,-96.7667,15.0976394849785,0.00956429330499469
2022,4,"Dallas","TX","America/Chicago","DFW","Frontier Airlines Inc.",32.7935,-96.7667,22.3194444444444,0.0181818181818182
2022,4,"Dallas","TX","America/Chicago","DFW","JetBlue Airways",32.7935,-96.7667,52.843137254902,0.0555555555555556
2022,4,"Dallas","TX","America/Chicago","DFW","Spirit Air Lines",32.7935,-96.7667,32.6023856858847,0.0685185185185185
2022,4,"Dallas","TX","America/Chicago","DFW","United Air Lines Inc.",32.7935,-96.7667,17.2675044883303,0.0159010600706714
2022,4,"Denver","CO","America/Denver","DEN","Alaska Airlines Inc.",39.762,-104.8758,10.0932203389831,0.056
2022,4,"Denver","CO","America/Denver","DEN","Allegiant Air",39.762,-104.8758,15.4411764705882,0
2022,4,"Denver","CO","America/Denver","DEN","American Airlines Inc.",39.762,-104.8758,13.6372093023256,0.0137614678899083
2022,4,"Denver","CO","America/Denver","DEN","Delta Air Lines Inc.",39.762,-104.8758,14.2484774665043,0.0132211538461538
2022,4,"Denver","CO","America/Denver","DEN","Frontier Airlines Inc.",39.762,-104.8758,12.224429727741,0.00947521865889213
